##########################################################################
       Name: Placement Bill of Materials Generator

    Version: 4 (2-sided, top)
         By: Small Batch Assembly
        URL: www.smallbatchassembly.com
 SourceFile: SmoothieBrainz - next round.brd
   DateTime: 6/1/2016 10:48:36 PM
      Units: inches
##########################################################################
REF,PACKAGE,VALUE,X,Y,ROTATION,
C1   , C0603            , 104     , 3.2397, 0.9181, 180.0
C2   , C0603            , 12pF     , 2.7635, 1.1229, 0.0
C3   , C0603            , 12pF     , 2.8735, 1.2129, 270.0
C4   , C0603            , 18pF     , 3.2831, 1.5158, 180.0
C5   , C0603            , 18pF     , 3.2811, 1.2958, 180.0
C6   , C0603            , 104     , 2.6093, 1.0996, 45.0
C7   , C0603            , 10uF     , 2.3473, 2.0032, 90.0
C8   , C0603            , 104     , 2.1027, 1.8685, 315.0
C9   , C0603            , 104     , 2.5460, 1.8329, 225.0
C10   , C0603            , 104     , 2.7091, 1.6195, 45.0
C11   , C0603            , 104     , 2.0296, 0.9009, 225.0
C12   , C0603            , 104     , 1.8495, 1.1701, 225.0
C13   , C0603            , 104     , 2.7631, 1.0434, 180.0
C14   , C0603            , 104     , 1.8115, 1.5995, 135.0
C17   , C0603            , 104     , 3.1129, 0.3515, 90.0
C18   , C0603            , 104     , 2.8129, 0.3567, 90.0
C19   , C0603            , 104     , 2.5129, 0.3597, 90.0
C20   , C0603            , 104     , 2.2129, 0.3590, 90.0
C21   , C0603            , 104     , 1.9079, 0.3599, 90.0
C22   , C0603            , 104     , 1.6079, 0.3549, 90.0
C23   , 153CLV-0605            , 100u     , 3.0250, 0.8250, 90.0
C24   , 153CLV-0605            , 100u     , 1.4000, 2.0000, 0.0
C28   , C0603            , 104     , 3.0193, 2.2516, 180.0
C29   , C0603            , 104     , 0.3563, 2.9875, 0.0
C30   , C0603            , 104     , 0.3231, 3.6450, 90.0
C31   , 153CLV-0605            , 100uF     , 0.5156, 3.1938, 0.0
C32   , C0603            , 104     , 0.9563, 2.9875, 0.0
C33   , C0603            , 104     , 0.9219, 3.6450, 90.0
C34   , 153CLV-0605            , 100uF     , 1.1156, 3.1938, 0.0
C35   , C0603            , 104     , 1.5562, 2.9875, 0.0
C36   , C0603            , 104     , 1.5231, 3.6450, 90.0
C37   , 153CLV-0605            , 100uF     , 1.7156, 3.1938, 0.0
C38   , C0603            , 104     , 2.1562, 2.9875, 0.0
C39   , C0603            , 104     , 2.1231, 3.6450, 90.0
C40   , 153CLV-0605            , 100uF     , 2.3156, 3.1938, 0.0
C41   , C0603            , 104     , 2.7563, 2.9875, 0.0
C42   , C0603            , 104     , 2.7231, 3.6450, 90.0
C43   , 153CLV-0605            , 100uF     , 2.9156, 3.1938, 0.0
C44   , C0603            , 10uF     , 2.6250, 0.7250, 90.0
C45   , C0603            , 10uF     , 2.7000, 0.7250, 90.0
C46   , C0603            , 10uF     , 2.7750, 0.7250, 90.0
C47   , C0603            , 10uF     , 2.8500, 0.7250, 90.0
C48   , C0603            , 104     , 3.3563, 2.9875, 0.0
C49   , C0603            , 104     , 3.3231, 3.6456, 90.0
C50   , 153CLV-0605            , 100uF     , 3.5156, 3.1938, 0.0
C51   , C0603            , 104     , 1.7437, 0.9563, 180.0
C64   , C0603            , 10uF     , 3.6625, 2.7391, 0.0
C65   , C0603            , 104     , 1.4256, 1.8080, 180.0
C67   , C0603            , 10uF     , 3.2384, 0.8294, 180.0
D1   , SMADIODE            , MBRA210LT3     , 3.0669, 1.1570, 90.0
D2   , DO-214AC            , SS34     , 0.8500, 2.6625, 90.0
D3   , SMADIODE            , MBRA210LT3     , 1.4179, 2.2333, 180.0
D4   , SOD-323            , 1N4148     , 0.3650, 0.3150, 90.0
D5   , SOD-323            , 1N4148     , 0.6650, 0.3150, 90.0
D6   , SOD-323            , 1N4148     , 0.9650, 0.3150, 90.0
D7   , SOD-323            , 1N4148     , 3.1930, 0.3507, 90.0
D8   , SOD-323            , 1N4148     , 2.8930, 0.3569, 90.0
D9   , SOD-323            , 1N4148     , 2.5930, 0.3597, 90.0
D10   , SOD-323            , 1N4148     , 2.2930, 0.3590, 90.0
D11   , SOD-323            , 1N4148     , 1.9930, 0.3610, 90.0
D12   , SOD-323            , 1N4148     , 1.6930, 0.3567, 90.0
D13   , SOD-323            , 1N4148     , 1.2650, 0.3150, 90.0
D14   , SOD-323            , 1N4148     , 1.2600, 1.4150, 0.0
D15   , SOD-323            , 1N4148     , 0.2500, 1.0312, 180.0
D16   , SOD-323            , 1N4148     , 1.3950, 1.4150, 180.0
IC1   , LQFP100            , LPC1769     , 2.2835, 1.4129, 45.0
IC2   , TO263-5            , LM2596-5     , 1.2114, 2.5204, 270.0
IC7   , SOT23-5            , 74LVC1G04     , 1.7000, 1.0750, 270.0
L1   , 0603            , 39nH     , 2.6748, 0.9725, 315.0
L2   , CDRH125            , 33uH     , 0.6872, 2.2937, 0.0
LED1   , SML0603            , GREEN     , 2.7432, 2.0456, 180.0
LED2   , SML0603            , GREEN     , 2.7432, 2.1274, 180.0
LED3   , SML0603            , GREEN     , 2.7432, 2.2087, 180.0
LED4   , SML0603            , GREEN     , 2.7432, 2.2893, 180.0
LED5   , CHIP-LED0603            , GREEN     , 3.8062, 2.8813, 270.0
LED6   , SML0603            , RED     , 0.6250, 1.0813, 180.0
LED7   , SML0603            , RED     , 0.4688, 0.9250, 90.0
LED8   , SML0603            , RED     , 0.7688, 0.9250, 90.0
LED9   , SML0603            , GREEN     , 2.7435, 2.3698, 180.0
LED10   , SML0603            , RED     , 1.0688, 0.9250, 90.0
LED11   , SML0603            , RED     , 1.3687, 0.9250, 90.0
LED12   , SML0603            , RED     , 2.7435, 2.4500, 0.0
Q1   , SC74_INFINEON            , BSL207SP     , 3.2291, 1.6214, 180.0
Q2   , CRYSTAL_3.2X2.5            , 12MHz     , 2.7585, 1.2129, 180.0
R1   , R0603            , 10K     , 3.2390, 1.0842, 180.0
R2   , R0603            , 10K     , 3.2328, 0.7338, 180.0
R3   , R0603            , 10K     , 3.2390, 1.0024, 180.0
R4   , R0603            , 10K     , 3.0173, 1.8860, 180.0
R5   , R0603            , 10k     , 1.7871, 0.3549, 90.0
R6   , R0603            , 10k     , 2.0879, 0.3595, 90.0
