"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"4";"";"1,6/0,9";"1,6/0,9";"PAD1, PAD2, PAD3, PAD4";"THROUGH-HOLE PAD";"";"";"";"";"";"";
"6";"";"M02LOCK";"1X02_LOCK";"JP14, JP15, JP16, JP21, JP22, JP23";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"2";"";"M03LOCK";"1X03_LOCK";"JP4, JP13";"Header 3";"";"";"";"";"";"";
"6";"";"M03POLAR_LOCK";"MOLEX-1X3_LOCK";"XMN, XMX, YMN, YMX, ZMN, ZMX";"Header 3";"";"";"";"";"";"";
"6";"";"M04LOCK";"1X04_LOCK";"JP3, JP8, JP9, JP10, JP12, JP19";"Header 4";"";"";"";"";"";"";
"6";"";"M04POLAR_LOCK";"MOLEX-1X4_LOCK";"JP1, JP2, JP6, JP7, JP11, JP18";"Header 4";"";"";"";"";"";"";
"1";"";"M05NO_SILK";"1X05_NO_SILK";"JP5";"Header 5";"";"";"";"";"";"";
"1";"";"M08LOCK";"1X08_LOCK";"JP17";"Header 8";"";"";"";"";"";"";
"1";"";"PINHD-2X7";"2X07";"JP20";"PIN HEADER";"";"";"";"";"";"";
"18";"";"SJ";"SJ";"SJ8, SJ9, SJ10, SJ11, SJ12, SJ13, SJ14, SJ15, SJ16, SJ17, SJ18, SJ19, SJ20, SJ21, SJ22, SJ23, SJ24, SJ25";"SMD solder JUMPER";"";"";"";"";"";"";
"6";"";"SOLDERJUMPERNC";"SJ_2S";"SJ2, SJ3, SJ4, SJ5, SJ6, SJ7";"Solder Jumper";"";"";"";"";"";"";
"2";"";"SOLDERJUMPER_2WAYS";"SJ_3";"SJ1, SJ26";"Solder Jumper";"";"";"";"";"";"";
"2";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"S1, S2";"Momentary Switch";"";"";"";"";"";"";
"1";"1.5K";"R-EU_R0603";"R0603";"R57";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"1.5K";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";
